ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000130182.8"	"ZSCAN10"	chr16	-	3092541	3093004	3092676	3093004	3091763	3091828
2	"ENSG00000143257.11"	"NR1I3"	chr1	-	161236458	161236598	161236529	161236598	161235846	161235977
3	"ENSG00000154265.16"	"ABCA5"	chr17	-	69273942	69274128	69273958	69274128	69271161	69271289
4	"ENSG00000035928.16"	"RFC1"	chr4	-	39351347	39351476	39351431	39351476	39345400	39345476
5	"ENSG00000196586.16"	"MYO6"	chr6	+	75892529	75892693	75892529	75892690	75894813	75894840
6	"ENSG00000196586.16"	"MYO6"	chr6	+	75844896	75844982	75844896	75844977	75846967	75846976
7	"ENSG00000120729.10"	"MYOT"	chr5	+	137870440	137871007	137870440	137870525	137875828	137876003
8	"ENSG00000179242.16"	"CDH4"	chr20	+	61743562	61743789	61743562	61743627	61773002	61773182
9	"ENSG00000159256.13"	"MORC3"	chr21	+	36375142	36375308	36375142	36375218	36377409	36377507
10	"ENSG00000270011.7"	"ZNF559-ZNF177"	chr19	+	9337795	9338017	9337795	9337858	9338493	9338582
11	"ENSG00000058335.15"	"RASGRF1"	chr15	-	79006176	79006434	79006185	79006434	79003801	79004175
12	"ENSG00000226287.8"	"TMEM191A"	chr22	+	20703967	20704056	20703967	20704040	20704187	20704228
13	"ENSG00000226287.8"	"TMEM191A"	chr22	+	20703632	20703751	20703632	20703692	20703967	20704040
14	"ENSG00000169598.15"	"DFFB"	chr1	+	3858717	3858866	3858717	3858844	3865811	3866000
15	"ENSG00000169598.15"	"DFFB"	chr1	+	3858717	3858866	3858717	3858844	3865761	3866000
16	"ENSG00000198246.9"	"SLC29A3"	chr10	+	71319281	71319731	71319281	71319310	71322755	71323054
17	"ENSG00000147408.14"	"CSGALNACT1"	chr8	-	19601991	19602495	19602401	19602495	19601770	19601865
18	"ENSG00000141380.14"	"SS18"	chr18	-	26091003	26091192	26091095	26091192	26087500	26087577
19	"ENSG00000166451.13"	"CENPN"	chr16	+	81014135	81014391	81014135	81014181	81017325	81017385
20	"ENSG00000107831.13"	"FGF8"	chr10	-	101775541	101775776	101775739	101775776	101774731	101774879
21	"ENSG00000156398.13"	"SFXN2"	chr10	+	102726611	102726797	102726611	102726777	102726986	102727157
22	"ENSG00000061918.13"	"GUCY1B1"	chr4	+	155772601	155772753	155772601	155772697	155774967	155775068
23	"ENSG00000171316.12"	"CHD7"	chr8	+	60780999	60781430	60780999	60781050	60794985	60795127
24	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70055655	70055910	70055713	70055910	70053730	70053792
25	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70083506	70083687	70083537	70083687	70059642	70059680
26	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086054	70086271	70086123	70086271	70085546	70085624
27	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70086054	70086273	70085546	70085624
28	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086054	70086273	70086251	70086273	70085546	70085624
29	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086054	70086273	70086221	70086273	70085546	70085624
30	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70086123	70086273	70085546	70085624
31	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086123	70086273	70086251	70086273	70085546	70085624
32	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086123	70086273	70086221	70086273	70085546	70085624
33	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70086251	70086273	70085546	70085624
34	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70085815	70086273	70086221	70086273	70085546	70085624
35	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70086221	70086273	70086251	70086273	70085546	70085624
