ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000233803.9"	"TSPY4"	chrY	+	9339280	9339373	9339291	9339373	9339039	9339185
2	"ENSG00000160223.17"	"ICOSLG"	chr21	-	44222990	44229044	44222990	44223078	44230053	44230089
3	"ENSG00000179348.12"	"GATA2"	chr3	-	128481818	128481944	128481818	128481902	128483859	128484005
4	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161230933	161230812	161230918	161231116	161231245
5	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230918	161231328	161231474
6	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161230933	161230812	161230918	161231328	161231474
7	"ENSG00000143257.11"	"NR1I3"	chr1	-	161230812	161231245	161230812	161230933	161231328	161231474
8	"ENSG00000143257.11"	"NR1I3"	chr1	-	161231116	161231245	161231116	161231233	161231328	161231474
9	"ENSG00000143257.11"	"NR1I3"	chr1	-	161229736	161229926	161229736	161229772	161230812	161230918
10	"ENSG00000184560.8"	"SPEM2"	chr17	+	7426187	7427568	7426525	7427568	7425992	7426050
11	"ENSG00000035928.16"	"RFC1"	chr4	-	39306591	39306704	39306591	39306701	39308635	39309032
12	"ENSG00000035928.16"	"RFC1"	chr4	-	39320382	39320669	39320382	39320660	39321286	39321374
13	"ENSG00000181790.11"	"ADGRB1"	chr8	+	142478186	142478360	142478195	142478360	142477384	142477549
14	"ENSG00000100359.21"	"SGSM3"	chr22	+	40409249	40409372	40409339	40409372	40408932	40409018
15	"ENSG00000068650.18"	"ATP11A"	chr13	+	112881812	112887168	112881875	112887168	112878216	112878303
16	"ENSG00000174938.14"	"SEZ6L2"	chr16	-	29896821	29897121	29896821	29896911	29897852	29897984
17	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966087	53965963	53966083	53966275	53966377
18	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966087	53965963	53966059	53966275	53966377
19	"ENSG00000228630.5"	"HOTAIR"	chr12	-	53965963	53966083	53965963	53966059	53966275	53966377
20	"ENSG00000130717.13"	"UCK1"	chr9	-	131529487	131529584	131529487	131529556	131530485	131530645
21	"ENSG00000135253.14"	"KCP"	chr7	-	128890904	128891096	128890904	128891087	128891184	128891278
22	"ENSG00000077232.18"	"DNAJC10"	chr2	+	182739544	182740388	182740298	182740388	182736248	182736386
23	"ENSG00000077232.18"	"DNAJC10"	chr2	+	182717940	182718290	182718156	182718290	182717015	182717072
24	"ENSG00000167346.7"	"MMP26"	chr11	+	4988067	4988310	4988269	4988310	4767269	4767341
25	"ENSG00000204256.13"	"BRD2"	chr6	+	32977259	32977570	32977441	32977570	32976561	32976936
26	"ENSG00000163357.10"	"DCST1"	chr1	+	155047188	155047312	155047195	155047312	155046359	155046486
27	"ENSG00000163357.10"	"DCST1"	chr1	+	155034337	155034560	155034434	155034560	155033971	155034097
28	"ENSG00000169715.15"	"MT1E"	chr16	+	56626465	56627112	56626879	56627112	56625780	56625879
29	"ENSG00000163956.13"	"LRPAP1"	chr4	-	3520071	3520229	3520071	3520193	3524906	3525051
30	"ENSG00000166483.11"	"WEE1"	chr11	+	9586448	9586619	9586497	9586619	9585441	9585527
31	"ENSG00000169598.15"	"DFFB"	chr1	+	3865642	3866000	3865761	3866000	3858717	3858844
32	"ENSG00000169598.15"	"DFFB"	chr1	+	3865761	3866000	3865811	3866000	3858717	3858844
33	"ENSG00000169598.15"	"DFFB"	chr1	+	3865642	3866000	3865811	3866000	3858717	3858844
34	"ENSG00000169598.15"	"DFFB"	chr1	+	3865761	3866000	3865811	3866000	3858717	3858866
35	"ENSG00000182132.13"	"KCNIP1"	chr5	+	170721757	170721903	170721832	170721903	170720320	170720390
36	"ENSG00000274372.5"	"LINC02804"	chr1	+	148024503	148024719	148024529	148024719	148021913	148021998
37	"ENSG00000177414.13"	"UBE2U"	chr1	+	64267011	64267368	64267023	64267368	64260602	64260694
38	"ENSG00000107831.13"	"FGF8"	chr10	-	101774731	101774912	101774731	101774879	101775739	101775776
39	"ENSG00000107831.13"	"FGF8"	chr10	-	101774731	101774912	101774731	101774879	101775129	101775216
40	"ENSG00000224905.7"	"AP001347.1"	chr21	+	14143508	14144468	14143756	14144468	14083949	14084144
41	"ENSG00000184182.18"	"UBE2F"	chr2	+	238016532	238016633	238016565	238016633	237994743	237994809
42	"ENSG00000171703.17"	"TCEA2"	chr20	+	64070488	64070635	64070491	64070635	64070259	64070414
43	"ENSG00000171703.17"	"TCEA2"	chr20	+	64071857	64071941	64071869	64071941	64070488	64070635
44	"ENSG00000061918.13"	"GUCY1B1"	chr4	+	155802341	155802579	155802440	155802579	155799876	155800074
45	"ENSG00000061918.13"	"GUCY1B1"	chr4	+	155802212	155802579	155802341	155802579	155799876	155800074
46	"ENSG00000061918.13"	"GUCY1B1"	chr4	+	155802212	155802579	155802440	155802579	155799876	155800074
47	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053812	70053730	70053792	70055713	70055910
48	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053815	70053730	70053792	70055713	70055910
49	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053815	70053730	70053812	70055713	70055910
50	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	69993862	69994250	69993862	69994218	69996685	69996888
51	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053994	70053730	70053792	70055655	70055910
52	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053815	70053730	70053792	70055655	70055910
53	"ENSG00000179818.14"	"PCBP1-AS1"	chr2	-	70053730	70053994	70053730	70053815	70055655	70055910
